title,artist,bpm,camelotKey,durationSeconds,energy,filePath,actual_bpm,bpm_confidence,actual_key,key_confidence,camelot,tempo_family,energy_score,energy_level,rms_mean,rms_peak,dynamic_range,onset_density,transient_density,spectral_centroid,spectral_rolloff,zero_crossing_rate,brightness,density,sample_rate,channels,beats_detected,analysis_version
Velveteens,Soulphiction,99.38,5A,382.027,0.458,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/35. Soulphiction - Velveteens.mp3,99.38,1.0,C minor,0.139,5A,low_mid,45.8,3,0.16391,0.672648,0.672635,269.333,1.181322,2566.483,4695.449,0.081139,0.1164,0.8978,44100,2,150,0618B_v1.0.0
Moved (Ricardo Villalobos Remix),Heiko Laux,129.2,11B,741.435,0.5812,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/36. Heiko Laux - Moved (Ricardo Villalobos Remix).mp3,129.2,0.996,A major,0.289,11B,dance,58.12,3,0.1137,0.276096,0.276096,538.667,2.550601,3037.679,6128.627,0.058677,0.1378,1.0,44100,2,193,0618B_v1.0.0
The Difference It Makes : The Difference It Makes,The MFA,126.05,12A,521.013,0.361,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/37. The MFA - The Difference It Makes - The Difference It Makes.mp3,126.05,0.804,C# minor,0.532,12A,dance,36.1,2,0.113454,0.628103,0.628066,164.667,1.045212,1631.98,2813.911,0.026969,0.074,0.5489,44100,2,152,0618B_v1.0.0
Achterbahn (Dimbiman Remix),Pole,129.2,7A,413.552,0.4956,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/38. Pole - Achterbahn (Dimbiman Remix).mp3,129.2,0.939,D minor,0.015,7A,dance,49.56,3,0.113712,0.559291,0.559291,339.333,1.558864,1954.604,3657.636,0.035399,0.0886,1.0,44100,2,182,0618B_v1.0.0
Dog Days (Pantytec Remix),Matthew Dear,126.05,12A,365.08,0.6064,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/39. Matthew Dear - Dog Days (Pantytec Remix).mp3,126.05,0.989,C# minor,0.158,12A,dance,60.64,4,0.13824,0.575103,0.575103,452.0,2.22116,2980.693,5437.45,0.059838,0.1352,1.0,44100,2,187,0618B_v1.0.0
Raw Beauty,Losoul,123.05,3A,401.007,0.5041,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/40. Losoul - Raw Beauty.mp3,123.05,1.0,A# minor,0.109,3A,mid,50.41,3,0.133256,0.452128,0.452089,315.333,1.990383,2408.386,5115.936,0.044166,0.1092,1.0,44100,2,186,0618B_v1.0.0
Wurz + Blosse,Wighnomy Brothers,124.53,8A,380.187,0.4467,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/41. Wighnomy Brothers - Wurz + Blosse.mp3,124.53,0.503,A minor,0.564,8A,dance,44.67,3,0.205571,0.443673,0.443653,263.333,1.087104,736.494,1228.637,0.01184,0.0334,0.8778,44100,2,94,0618B_v1.0.0
Sleep Tight (Original Mix),Moomin,123.05,1A,404.596,0.5664,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/42. Moomin - Sleep Tight (Original Mix).mp3,123.05,0.926,G# minor,0.054,1A,mid,56.64,3,0.131185,0.563002,0.562964,408.667,1.915605,5134.276,9293.802,0.098742,0.2328,1.0,44100,2,171,0618B_v1.0.0
?,Audio Werner,126.05,8A,614.584,0.5977,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/43. Audio Werner - .mp3,126.05,0.984,A minor,0.071,8A,dance,59.77,3,0.202185,0.66219,0.662058,316.667,1.84522,3651.06,7184.457,0.084721,0.1656,1.0,44100,2,186,0618B_v1.0.0
Untitled A1,Willow,120.19,10A,448.001,0.437,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/44. Willow - Untitled A1.mp3,120.19,0.982,B minor,0.151,10A,mid,43.7,3,0.215489,0.564777,0.56471,220.667,0.892627,1921.105,3574.114,0.048422,0.0871,0.7356,44100,2,177,0618B_v1.0.0
Cosmic Sandwich (Extended Version),Cosmic Sandwich,123.05,7A,645.644,0.6827,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/45. Cosmic Sandwich - Cosmic Sandwich (Extended Version).mp3,123.05,0.818,D minor,0.318,7A,mid,68.27,4,0.353487,0.721418,0.721416,311.333,1.544716,2826.545,6587.443,0.030902,0.1282,1.0,44100,2,151,0618B_v1.0.0
