title,artist,bpm,camelotKey,durationSeconds,energy,filePath,actual_bpm,bpm_confidence,actual_key,key_confidence,camelot,tempo_family,energy_score,energy_level,rms_mean,rms_peak,dynamic_range,onset_density,transient_density,spectral_centroid,spectral_rolloff,zero_crossing_rate,brightness,density,sample_rate,channels,beats_detected,analysis_version
SR-20260606-01A (Signals Through Thin Walls 2),Unknown Artist,117.19,8B,221.0,0.6005,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/SR-20260606-01A (Signals Through Thin Walls 2).wav,117.19,0.939,C major,0.095,8B,mid,60.05,4,0.141834,0.549307,0.549305,325.333,1.380177,1277.435,2131.379,0.013212,0.0532,1.0,48000,2,165,0618B_v1.0.0
SR-20260606-27A (Geography),Unknown Artist,122.28,5A,254.12,0.5495,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/SR-20260606-27A (Geography).wav,122.28,0.632,C minor,0.43,5A,mid,54.95,3,0.138374,0.46382,0.463788,335.333,1.185316,1027.085,1744.749,0.022337,0.0428,1.0,48000,2,116,0618B_v1.0.0
Sr-20260607-06A (Networks-2) (1),Unknown Artist,117.19,7B,262.88,0.5495,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/Sr-20260607-06A (Networks-2) (1).wav,117.19,0.518,F major,0.246,7B,mid,54.95,3,0.142151,0.352035,0.352024,405.333,1.502887,1930.162,3983.683,0.029994,0.0804,1.0,48000,2,91,0618B_v1.0.0
Sr-20260607-06A (Networks-2),Unknown Artist,117.19,7B,262.88,0.5495,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Batch 1/Sr-20260607-06A (Networks-2).wav,117.19,0.518,F major,0.246,7B,mid,54.95,3,0.142151,0.352035,0.352024,405.333,1.502887,1930.162,3983.683,0.029994,0.0804,1.0,48000,2,91,0618B_v1.0.0
Almost Remembered s01,Unknown Artist,119.68,10B,149.88,0.5031,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Almost Remembered s01.wav,119.68,1.0,D major,0.4,10B,mid,50.31,3,0.134588,0.417366,0.417289,256.667,1.403958,1876.016,3873.604,0.020987,0.0782,0.8556,48000,2,182,0618B_v1.0.0
Almost Remembered,Unknown Artist,122.28,9A,152.52,0.615,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Almost Remembered.wav,122.28,0.987,E minor,0.151,9A,mid,61.5,4,0.170572,0.499507,0.498717,324.0,1.064973,1466.582,2686.157,0.023226,0.0611,1.0,48000,2,181,0618B_v1.0.0
Archive Drift s01,Unknown Artist,119.68,4A,203.36,0.4846,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Archive Drift s01.wav,119.68,1.0,F minor,0.599,4A,mid,48.46,3,0.127661,0.304082,0.281137,434.0,1.156958,1737.051,3422.194,0.027196,0.0724,1.0,48000,2,183,0618B_v1.0.0
Archive Drift,Unknown Artist,122.28,2A,208.8,0.5295,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Archive Drift.wav,122.28,1.0,D# minor,0.427,2A,mid,52.95,3,0.137229,0.404583,0.404581,354.0,1.21192,1203.714,2442.855,0.015408,0.0502,1.0,48000,2,185,0618B_v1.0.0
Artifact Unit s01,Unknown Artist,114.8,6A,83.6,0.5676,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Artifact Unit s01.wav,114.8,0.863,G minor,0.271,6A,mid,56.76,3,0.12109,0.45553,0.455523,373.924,1.779559,2565.952,5149.295,0.045836,0.1069,1.0,48000,2,138,0618B_v1.0.0
Artifact Unit,Unknown Artist,76.01,10A,97.04,0.362,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Artifact Unit.wav,76.01,1.0,B minor,0.297,10A,slow,36.2,2,0.100383,0.393995,0.39161,293.333,0.993875,1315.214,2244.889,0.03065,0.0548,0.9778,48000,2,228,0618B_v1.0.0
